,Product_Name,combined_features
10,Himalaya Anti-Hair Fall Shampoo With Bhringaraja,"Himalaya Anti-Hair Fall Shampoo With Bhringaraja Himalaya's Anti-Hair Fall Shampoo is a breakthrough 2-in-1 formula that reduces hair fall and provides nourishment to hair shafts. It also conditions and improves your hair texture to reduce hair fall due to breakage. The herbs Butea Frondosa and Bhringaraja stimulate hair follicle growth and are effective in strengthening hair roots and controlling hair fall. Controls hair fall Reduces hair breakage Can be used on color treated hair Suitable for all hair types. Key Ingredients : Butea Frondosa or 'flame of the forest' is native to India and Southeast Asia. It strengthens hair and helps promote hair growth. Bhringaraja is traditionally used in Ayurveda for hair growth and hair dyeing. It nourishes the hair root, improves hair texture and reduces hair fall.About the Brand: A brand synonymous with safe and efficacious herbal products, Himalaya Herbals was founded in 1930 by Mr. M. Manal with a clear vision to bring Ayurveda to society in a contemporary form and to unravel the mystery behind the 5,000 year old system of medicine. Himalaya has pioneered the use of modern science to rediscover and validate Ayurveda's secrets. ISO 9001:2000 cutting-edge technology is employed to create pharmaceutical-grade Ayurvedic products. The company has focused on developing safe, natural and innovative remedies that will help people lead richer, healthier lives.You can explore various offers on black friday on Nykaa from 26th - 30th Nov 2020 in the Pink Friday Sale 2020. Get additional 10% off on HDFC Bank Card. Use Coupon: NYKHDFC10. Offer valid only on the Nykaa app.Alternatively, you can also find many more products from the Himalaya Anti-Hair Fall Shampoo With Bhringaraja range.MRP: 75 Expiry Date: 15 May 2022Country of Origin: IndiaName of Mfg / Importer / Brand: The Himalaya Drug CompanyAddress of Mfg / Importer / Brand: The Himalaya Drug Company, Makali, Bengaluru 562162 Phone: 1-800-208-1930"
11,Smashbox Color Correcting Stick - Look Less Tired - Dark,"Smashbox Color Correcting Stick - Look Less Tired - Dark These creamy, color-correcting sticks camouflage flaws and even out specific skin concerns with precise application. Pair with foundation or concealer to neutralize redness, dark spots, hyperpigmentation, or uneven skin tone. Benefits: - Tackles discoloration with targeted, blendable pencils - Each color addresses a different skin issue - Green reduces redness - Peach (for lighter skin tones) and Orange (for deeper skin tones) corrects age spots and dark circles on lighter skin- Gives you precise, lightweight coverage - Looks natural under makeup - These sticks work for all skin types- Cruelty-freeCountry of Origin : Belgium / Canada / France / Germany / Italy / Japan / South Korea / Switzerland / United Kingdom / United StatesExplore the entire range of Concealer available on Nykaa. Shop more Smashbox products here.You can browse through the complete world of Smashbox Concealer .Alternatively, you can also find many more products from the Smashbox Color Correcting Stick range.MRP: 2090 Name of Mfg / Importer / Brand: Estee lauder CompaniesAddress of Mfg / Importer / Brand: the Estee Lauder Companies INC,767,fifth Avenue,NY,10153,United States of America"
12,NIVEA Creme - All Season Multi Purpose Cream,"NIVEA Creme - All Season Multi Purpose Cream Introduction: Pamper your skin with the trusted formula of NIVEA Creme which not only cares but also protects your skin leaving it healthy and moisturized.It's an all-purpose creme that you can use for everyone in the family, making it the perfect moisturizer for all seasons! NIVEA CREME HOW TO USE : STEP 1 : Scoop product with clean hands STEP 2 : Rub it on your palms to spread evenly. STEP 3 : Gently massage all over your face and body. STEP 4 : Use daily for soft, smooth skin. Features PICK YOUR FAVOURITE NIVEA SOFT NIVEA CREME CARE SHOWER CREAM NIVEA NOURISHING LOTION BODY MILK"
13,Vaseline Ice Cool Hydration Lotion,"Vaseline Ice Cool Hydration Lotion Explore the entire range of Lotions & Creams available on Nykaa. Shop more Vaseline products here.You can browse through the complete world of Vaseline Lotions & Creams .Alternatively, you can also find many more products from the Vaseline Ice Cool Hydration Lotion range.MRP: 345 Country of Origin: IndiaName of Mfg / Importer / Brand: Hindustan Unilever LtdAddress of Mfg / Importer / Brand: Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099"
14,Lime Crime Velvetines Liquid Matte Lipstick - Red Velvet,"Lime Crime Velvetines Liquid Matte Lipstick - Red Velvet Inspired by the â€˜bloomâ€™ of rose petals, Lime Crimeâ€™s Matte Velvetines Liquid Lipstick comes in a wide spectrum of arresting shades. Magnificently matte and totally smooch-proof. Intensely pigmented and packed with skin-nourishing extracts, the French vanilla-infused formula feels comfortable, wonâ€™t leave your lips feeling dry and lends lips a stunning, suede finish. Available in two finishes - matte and metallic.What it does: Makes your lips feel luxurious and velvety, like a rose. Lasts all day with minimal touch-ups, even through meals.What it won't do: Bleed or transfer. Dry out properly moisturized lips. Ruin the perfect kiss.What else you need to know: Certified vegan and cruelty-free brand by both PETA and Leaping Bunny, Lime Crime makeup and all of its ingredients are never tested on animals.About the Brand: Lime Crime's mission is to revolutionise the world of makeup so you can have kick-ass products that look as individual as your mood. Known for their long-wearing lip pigments and exquisite eye and cheek enhancers, Lime Crime makeup comes in an amazing range of vibrant, kick-ass colours and textures in adorable packaging. Lime Crime is passionate about being 100% cruelty free. All Lime Crime cosmetics are PETA verified vegan and Leaping Bunny certified cruelty-free. Explore the entire range of Liquid Lipstick available on Nykaa. Shop more Lime Crime products here.You can browse through the complete world of Lime Crime Liquid Lipstick .Alternatively, you can also find many more products from the Lime Crime Velvetines Liquid Matte Lipstick range.MRP: 1900 Expiry Date: 15 February 2023Country of Origin: United States of America (the)Name of Mfg / Importer / Brand: Lime CrimeAddress of Mfg / Importer / Brand: Lime Crime Makeup, 20501 Ventura Blvd. Ste. 220, Woodland Hills, CA 91396"
15,Maybelline New York Alia Loves New York Baby Lips SPF 20 - Manhattan Mauve,"Maybelline New York Alia Loves New York Baby Lips SPF 20 - Manhattan Mauve Alia brings you the best of the city she loves.1st Limited edition collection ofMaybelline New York Baby Lips, curated by Alia Bhatt in a trendy,limited edition pack inspired by edgy New York styled graffiti. 4 vibrant tints that gives you a flavor of the city's energyand glam quotient.Why You'll Love ItTinted lip balm with SPF 20Keeps lips moisturized for up to 16 hoursProtects and repairs lipsEnriched with Vitamin E and coconut oilHow to Use/Apply STEP 1. Apply in the centre of your upper lip to the outer edges, following the contours of your mouth, then glide across the entire bottom lip, can be worn under lip color STEP 2.For optimal protection, re-apply when lips are exposed to strong sun, wind or coldExplore the entire range of Lip Balm available on Nykaa. Shop more Maybelline New York products here.You can browse through the complete world of Maybelline New York Lip Balm .Alternatively, you can also find many more products from the Maybelline New York Alia Loves New York Baby Lips range.MRP: 175 Country of Origin: India"
16,Bobbi Brown Crushed Liquid Lip Color - Big Apple,"Bobbi Brown Crushed Liquid Lip Color - Big Apple What it is:Â The look of a liquid lipstick meets the comfortable feel of a balm and the plumped-up sheen of a gloss. Created with a superfruit blend featuring cranberry, blueberry and raspberry extracts, this emollient-rich, full-coverage formula glides on with pure color pigments and offers nourishing comfort and moistureâ€”both instantly and over time.Paraben-free; phthalate-free; sulfate-free; sulfate-free; gluten-freeCountry of Origin : Belgium / Canada / France / Germany / Italy / Japan / South Korea / Switzerland / United Kingdom / United StatesExplore the entire range of Liquid Lipstick available on Nykaa. Shop more Bobbi Brown products here.You can browse through the complete world of Bobbi Brown Liquid Lipstick .Alternatively, you can also find many more products from the Bobbi Brown Crushed Liquid Lip Color range.MRP: 1900 Expiry Date: 15 January 2022"
17,The Body Care Herbal Shampoo With Conditioner,"The Body Care Herbal Shampoo With Conditioner The Body Care Herbal Shampoo is enriched with natural herbal extract.It is gentle on hair, it soothes dry scalps and nourishes conditions & restores hair natural moisture balance. This shampoo also helps in strengthening the hair.Soothes and nourishes dry scalps. Helps in strengthening the hair. Gives smooth, soft and shiny hair. Unique Features:Free from Paraben and Formaldehyde Free from Non Allergic Perfumes and fragrances 100% Vegan Cruelty Free Additional Information: The brand Body Care introduces some of the finest and most effective skin, body and personal care products that are made from using pure natural ingredients and are quite effective in results.The brand is renowned for their consistent high quality, affordable products that are created using a unique combination of science and technology.Alternatively, you can also find many more products from the The Body Care Herbal Shampoo With Conditioner range.MRP: 179 Country of Origin: IndiaName of Mfg / Importer / Brand: Body CareAddress of Mfg / Importer / Brand: E-11, Agarwal Industrial Estate, Off S V road, Jogeshwari West, Mumbai-400102"
18,Cadiveu Brasil Cacau Brazilian Thermal Reconstruction,"Cadiveu Brasil Cacau Brazilian Thermal Reconstruction Cadiveu Professional Brasil Cacau Brazilian Thermal Reconstruction removes 95% of frizz and is suitable for curly, natural and chemically treated hair. It is step two in the application process and it effectively rebuilds hair damaged by excessive chemical exposure. By adding a protective keratin layer around the hair shaft, it conditions hair, thus eliminating frizz, smoothing the hair cuticles and enhancing your colour. The end result is straighter, smoother, incredibly shinier, stronger, frizz free hair, which is more manageable and humidity resistant. It can be applied over coloured, highlighted, bleached, chemically straightened or curled hair.Benefits: Withstands humidity Revitalizes and conditions hair Removes the frizz and closes the cuticle Makes the hair more manageable Expedites the styling procedures Works well with all hair types Contains no harmful chemicalsAbout the Brand: Cadiveu Professional offers a full range of innovative and top quality hair products. Developed in Brazil, the Cadiveu Professional brand uses natural ingredient and innovative green technologies so you can get the hair you have always wanted. Whether you have fine, short hair or long frizzy curls or anything in between, Cadiveu Professional has the right product for you. Cadiveu Professional USA is an eco-friendly company contributing to waste reduction and producing 100 perfect recyclable packaging. Also products are never tested on animals.Explore the entire range of Hair Creams & Masks available on Nykaa. Shop more CADIVEU products here.You can browse through the complete world of CADIVEU Hair Creams & Masks .Alternatively, you can also find many more products from the Cadiveu Brasil Cacau Brazilian Thermal Reconstruction range.MRP: 21000 Country of Origin: BrazilName of Mfg / Importer / Brand: SSIZ InternationalAddress of Mfg / Importer / Brand: 323/3rd floor,Umrigar Building, opp Crawford market,Mumbai-400003.Maharashtra INDIA"
19,Street Wear Foundation - Deep,"Street Wear Foundation - Deep Street Wear Foundation's weightless formula truly gives you flawless looking skin without appearing cakey. Its moisturizing formula keeps skin replenished at all times without looking greasy. It unifies uneven skin tone, covers imperfections and gives you an even finish with poreless perfection. Features:Fragrance-free foundation that creates even complexion.Weightless, moisturizing formula.Evens out skin tone and covers inconsistencies.Delivers a dewy, natural finish.Blends easily in to skin without appearing cakey.Additional Information: Streetwear is the first international cosmetic brand to be launched in India by Revlon and it offers an exciting and innovative range of products. It is a story of Streetwear's 4 brand ambassadors who are young, spirited and stylishly street-wise! With the StreetWear range of products, these ambassadors will unfold their journey as best-friends who love to experiment with new look and styles while celebrating their true self, always! In this changing world, Streetwear endeavors to encourage girls to experiment with colors, their style and life in general. With an attitude to take on anything one believes in, Streetwear enables young girls to ask ?Why Not? and not hold back while trying something new!Explore the entire range of Foundation available on Nykaa. Shop more Street Wear products here.You can browse through the complete world of Street Wear Foundation .Alternatively, you can also find many more products from the Street Wear Foundation range.MRP: 320 Country of Origin: IndiaName of Mfg / Importer / Brand: G.S.Pharmbutor pvt.ltd.,(unit 2), plot no. 58,59,66&67, Sector 3, I.I.E,Pantnagar, Rudrapur, 263153, Uttarakhand, IndiaAddress of Mfg / Importer / Brand: G.S.Pharmbutor pvt.ltd.,(unit 2), plot no. 58,59,66&67, Sector 3, I.I.E,Pantnagar, Rudrapur, 263153, Uttarakhand, India"
